,ID,Smiles
Galanthamine (hydrobromide),36,O[C@@H]1C[C@@H]2OC3=C4C(CN(C)CC[C@]42C=C1)=CC=C3OC.Br
Monoammonium glycyrrhizinate hydrate,37,O=C1[C@]([C@](CC2)(C)[C@@]3(C)C([C@]([C@@]4(C)CC3)([H])C[C@@](CC4)(C)C(O)=O)=C1)([H])[C@](CC5)(C)C2C([C@H]5O[C@@H](O[C@H](C([O-])=O)[C@H]6O)[C@H](O[C@@H]([C@H](O)[C@@H](O)[C@@H]7O)O[C@@H]7C(O)=O)[C@H]6O)(C)C.[NH4+]
Azlocillin (sodium salt),38,O=C([C@@H](C(C)(C)S[C@]1([H])[C@@H]2NC([C@H](NC(N3CCNC3=O)=O)C4=CC=CC=C4)=O)N1C2=O)[O-].[Na+]
Meropenem (trihydrate),39,O=C(C(N12)=C(S[C@@H]3CN[C@H](C(N(C)C)=O)C3)[C@H](C)[C@]2([H])[C@@H]([C@H](O)C)C1=O)O.O.O.O
(E)-Cardamonin,40,O=C(C1=C(OC)C=C(O)C=C1O)/C=C/C2=CC=CC=C2
Etimizol,41,O=C(C1=C(C(NC)=O)N(CC)C=N1)NC
Idebenone,42,O=C1C(CCCCCCCCCCO)=C(C)C(C(OC)=C1OC)=O
Cortisone,43,C[C@@]1(C2)[C@](C(CO)=O)(O)CC[C@@]1([H])[C@]3([H])CCC4=CC(CC[C@]4(C)[C@@]3([H])C2=O)=O
Meisoindigo,44,O=C1N(C)C2=C(C=CC=C2)/C1=C3C(NC4=C\3C=CC=C4)=O
Baohuoside I,45,OC1=CC(O)=C2C(OC(C3=CC=C(OC)C=C3)=C(O[C@H](O[C@@H](C)[C@H](O)[C@H]4O)[C@@H]4O)C2=O)=C1C/C=C(C)\C
Linezolid,46,O=C(O[C@H]1CNC(C)=O)N(C1)C2=CC(F)=C(N3CCOCC3)C=C2
Daunorubicin (Hydrochloride),47,O=C(C(C(OC)=CC=C1)=C1C2=O)C3=C2C(O)=C(C[C@@](O)(C(C)=O)C[C@@H]4O[C@@]5([H])C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O.[H]Cl
Lithocholic acid,48,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CCC(O)=O)([H])[C@@]3([H])[C@]([C@@]4([C@](C[C@H](O)CC4)([H])CC3)C)([H])CC1
Estradiol,49,C[C@@]1([C@H]2O)[C@](CC2)([H])[C@@](CCC3=C4C=CC(O)=C3)([H])[C@]4([H])CC1
Ketanserin (tartrate),50,O=C(C1=CC=CC=C1N2)N(CCN3CCC(C(C4=CC=C(F)C=C4)=O)CC3)C2=O.O=C(O)[C@H](O)[C@@H](O)C(O)=O
L-Hyoscyamine,51,CN1[C@@H]2C[C@@H](OC([C@@H](C3=CC=CC=C3)CO)=O)C[C@H]1CC2
Ginsenoside Rg3,52,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@]([C@@H]([C@@H](O)[C@@H]5O)O)([H])O[C@@H]5CO)C)(CC[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC6)C
Chenodeoxycholic Acid,53,O=C(O)CC[C@@H](C)[C@]1([H])[C@]2(C)[C@](CC1)([H])[C@]3([H])[C@H](O)C[C@@](C4)([H])[C@@](CC[C@H]4O)(C)[C@]([H])3CC2
Lucidin,54,O=C1C2=C(C=CC=C2)C(C3=CC(O)=C(CO)C(O)=C13)=O
Bergaptol,55,O=C1C=CC(C(O1)=C2)=C(O)C3=C2OC=C3
Oxybutynin (chloride),56,O=C(C(O)(C1=CC=CC=C1)C2CCCCC2)OCC#CCN(CC)CC.[H]Cl
Neohesperidin,57,O=C1C[C@@H](C2=CC=C(OC)C(O)=C2)OC3=CC(O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O[C@@]5([H])[C@@H]([C@@H]([C@H]([C@H](C)O5)O)O)O)=CC(O)=C13
Folic acid,58,O=C(O)CC[C@@H](C(O)=O)NC(C1=CC=C(NCC2=CN=C3N=C(N)NC(C3=N2)=O)C=C1)=O
Vitamin K1,59,O=C1C(C)=C(C/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(C2=C1C=CC=C2)=O
Mepivacaine (hydrochloride),60,O=C(C(CCCC1)N1C)NC(C(C)=CC=C2)=C2C.Cl
Octahydrocurcumin,61,OC(CC(O)CCC1=CC=C(O)C(OC)=C1)CCC2=CC=C(O)C(OC)=C2
Avibactam (sodium),62,O=S(ON1[C@]2([H])CC[C@@H](C(N)=O)[N@@](C2)C1=O)([O-])=O.[Na+]
Artemether,63,C[C@H]1[C@@H](OC)O[C@@]2([H])[C@]34[C@@]([C@H](C)CC[C@]41[H])([H])CC[C@@](O2)(C)OO3
Estrone,64,C[C@]1([C@](CC2)([H])[C@]3([H])CCC4=C(C=CC(O)=C4)[C@@]3([H])CC1)C2=O
Danshensu (sodium salt),65,OC1=C(O)C=CC(CC(C([O-])=O)O)=C1.[Na+]
Chikusetsusaponin Iva,66,O=C([C@]1(CCC(C)(C)C2)[C@]2([H])C3=CC[C@@]4([H])[C@@](C)(CC[C@]5([H])[C@@]4(CC[C@H](O[C@]([C@@H]([C@@H](O)[C@@H]6O)O)([H])O[C@@H]6C(O)=O)C5(C)C)C)[C@]3(C)CC1)O[C@@H]([C@@H]([C@@H](O)[C@@H]7O)O)O[C@@H]7CO
Corydaline,67,C[C@@H](C1=CC=C2OC)[C@]3([H])C4=CC(OC)=C(OC)C=C4CCN3CC1=C2OC
Arecoline (hydrobromide),68,O=C(C1=CCCN(C)C1)OC.Br
Clindamycin (hydrochloride),69,C[C@H](Cl)[C@@]([C@@]([C@@H]([C@H](O)[C@H]1O)O)([H])O[C@@H]1SC)([H])NC([C@@H]2C[C@@H](CCC)CN2C)=O.Cl
Retapamulin,70,C[C@@H]1[C@]23[C@](C(CC3)=O)([H])[C@]([C@H](OC(CS[C@@H]4C[C@@H]5N(C)[C@@H](CC5)C4)=O)C[C@](C=C)(C)[C@H]1O)([C@H](C)CC2)C
Ethambutol (dihydrochloride),71,CC[C@H](NCCN[C@@H](CC)CO)CO.Cl.Cl
Tosufloxacin (tosylate hydrate),72,CC1=CC=C(S(=O)(O)=O)C=C1.O=C(C2=CN(C3=CC=C(F)C=C3F)C4=C(C=C(F)C(N5CC(N)CC5)=N4)C2=O)O.O
Peiminine,73,[H][C@]12[C@]3([H])CC([C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])C[C@]([H])1[C@]5([H])CN6C[C@@H](C)CC[C@]([H])6[C@@](C)(O)[C@]([H])5CC2)=O
Ribitol,74,OC[C@@H](O)[C@@H](O)[C@@H](O)CO
"2,3,5,4'-Tetrahydroxystilbene 2-O-β-D-glucoside",75,OC1=CC(O)=CC(/C=C/C2=CC=C(O)C=C2)=C1O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO
Ancitabine (hydrochloride),76,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl
Poliumoside,77,OC1=C(O)C=CC(CCOC2C(C(OC3OC(C)C(O)C(O)C3O)C(OC(/C=C/C4=CC=C(O)C(O)=C4)=O)C(COC5OC(C)C(O)C(O)C5O)O2)O)=C1
Pleuromutilin,78,C[C@@H]([C@@H]([C@@](C)(C[C@H]1OC(CO)=O)C=C)O)C(CC[C@H]2C)(CCC3=O)[C@]3([H])C21C
Puromycin (Dihydrochloride),79,OC[C@@H]1[C@@H](NC([C@@H](N)CC2=CC=C(OC)C=C2)=O)[C@H]([C@H](N3C=NC4=C3N=CN=C4N(C)C)O1)O.[H]Cl.[H]Cl
Sanguinarine (chloride),80,C[N+]1=CC2=C3C(OCO3)=CC=C2C(C=CC4=C5)=C1C4=CC6=C5OCO6.[Cl-]
Genistein,81,OC1=C2C(OC=C(C3=CC=C(O)C=C3)C2=O)=CC(O)=C1
Naringin Dihydrochalcone,82,O=C(C1=C(O)C=C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)O)O)O[C@@]3([H])[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)C=C1O)CCC4=CC=C(O)C=C4
Apigenin,83,OC1=C2C(OC(C3=CC=C(O)C=C3)=CC2=O)=CC(O)=C1
alpha-Asarone,84,C/C=C/C1=C(OC)C=C(OC)C(OC)=C1
Etoposide,85,O=C1OC[C@]2([H])[C@H](O[C@H]3[C@@H]([C@H]([C@@H]4O[C@H](C)OC[C@H]4O3)O)O)C5=C(C=C6OCOC6=C5)[C@@H](C7=CC(OC)=C(O)C(OC)=C7)[C@]21[H]
Hematoxylin,86,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O
"3,5-Dicaffeoylquinic acid",87,O=C(C1(O)CC(OC(/C=C/C2=CC=C(O)C(O)=C2)=O)C(O)C(OC(/C=C/C3=CC=C(O)C(O)=C3)=O)C1)O
9-Aminoacridine,88,NC1=C(C=CC=C2)C2=NC3=CC=CC=C31
Vitamin B12,89,N#[C-][Co+3]123([N]4=CN(C(OC(CO)C5OP6([O-])=O)C5O)C7=C4C=C(C)C(C)=C7)[N]8=C9C(CCC(N)=O)C(CC(N)=O)(C)C8(C)C(C(CC(N)=O)C%10(CCC(NCC(C)O6)=O)C)[N-]1C%10=C(C)C(C(CCC(N)=O)C%11(C)C)=[N]2C%11=CC%12=[N]3C(C(CC(N)=O)(C)C%12CCC(N)=O)=C9C
(-)-Epigallocatechin Gallate,90,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
Ursolic acid,91,CC1(C)[C@@H](O)CC[C@]2(C)[C@@]3([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC[C@@]12[H]
Acacetin,92,O=C1C=C(C2=CC=C(OC)C=C2)OC3=CC(O)=CC(O)=C13
Rifapentine,93,OC(C1=C(C2=O)C(O[C@@]2(O/C=C/[C@@H]([C@H]([C@@]([C@@H]3C)([H])OC(C)=O)C)OC)C)=C(C)C(O)=C1C(O)=C4NC(/C(C)=C\C=C\[C@@H]([C@@H]([C@@H](C)[C@H]3O)O)C)=O)=C4/C=N/N5CCN(C6CCCC6)CC5
(S)-10-Hydroxycamptothecin,94,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=CC5=CC(O)=CC=C5N=C4C3=C2)=O
Nitisinone,95,O=C1C(C(C2=CC=C(C(F)(F)F)C=C2[N+]([O-])=O)=O)C(CCC1)=O
Scutellarein,96,O=C1C=C(C2=CC=C(O)C=C2)OC3=CC(O)=C(O)C(O)=C13
Caerulomycin A,97,COC1=CC(C2=NC=CC=C2)=NC(/C=N/O)=C1.[(E)]
Oligomycin A,98,O=C(/C=C/[C@H](C)[C@@H](O)[C@H](C)C([C@H](C)[C@@H](O)[C@@H]1C)=O)O[C@@]([C@@H]2C)([H])[C@H](C)[C@@]3(CC[C@H](C)[C@H](C[C@H](O)C)O3)O[C@@]2([H])CC[C@@H](CC)/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C1=O
Plumbagin,99,O=C1C(C)=CC(C2=C1C=CC=C2O)=O
5'-Deoxyadenosine,100,C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O
"N2,N2-Dimethylguanosine",101,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N(C)C)NC3=O)O1)O)O
Allicin,102,C=CCS(SCC=C)=O
"5a-Pregnane-3,20-dione",103,CC([C@H]1CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)=O
"7,8-Dihydro-L-biopterin",104,O=C1N=C(N)NC2=C1N=C([C@@H](O)[C@@H](O)C)CN2
Maslinic acid,105,C[C@]([C@@]1([H])[C@]2(C[C@@H](O)[C@@H]3O)C)(CC[C@@]2([H])C3(C)C)[C@@](C4=CC1)(CC[C@]5(C(O)=O)[C@@]4([H])CC(C)(C)CC5)C
Gastrodin,106,O[C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)[C@@H]1OC2=CC=C(CO)C=C2
Doxorubicin (hydrochloride),107,COC1=C2C(C(C(C(O)=C(C[C@](C(CO)=O)(O)C[C@@H]3O[C@@]4([H])C[C@H](N)[C@H](O)[C@H](C)O4)C3=C5O)=C5C2=O)=O)=CC=C1.[H]Cl
Erianin,108,OC1=CC(CCC2=CC(OC)=C(OC)C(OC)=C2)=CC=C1OC
Guaiacol,109,OC1=CC=CC=C1OC
5-Hydroxyindole-3-acetic acid,110,O=C(O)CC1=CNC2=C1C=C(O)C=C2
γ-Aminobutyric acid,111,O=C(O)CCCN
Glycoursodeoxycholic acid,112,O=C(O)CNC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O
Harmine,113,CC1=NC=CC2=C1NC3=C2C=CC(OC)=C3
Xanthosine,114,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC(C(N3)=O)=C2NC3=O)O1)O)O
Carnosic acid,115,OC([C@@]([C@@]1([H])CCC2=CC(C(C)C)=C3O)(CCCC1(C)C)C2=C3O)=O
Betulinic acid,116,[H][C@@]12CC[C@@]3(C)[C@]4(C)CC[C@]5(C(O)=O)[C@@]([C@H](C(C)=C)CC5)([H])[C@@](CC[C@@]([H])3[C@@]1(C)CC[C@H](O)C2(C)C)4[H]
3-Hydroxyanthranilic acid,117,O=C(O)C1=CC=CC(O)=C1N
Stearic acid,118,CCCCCCCCCCCCCCCCCC(O)=O
Pentagalloylglucose,119,O=C(C1=CC(O)=C(O)C(O)=C1)O[C@@H]([C@@H]([C@@H](COC(C2=CC(O)=C(O)C(O)=C2)=O)O3)OC(C4=CC(O)=C(O)C(O)=C4)=O)[C@H]([C@@H]3OC(C5=CC(O)=C(O)C(O)=C5)=O)OC(C6=CC(O)=C(O)C(O)=C6)=O
5-(Hydroxymethyl)furan-2-carbaldehyde,120,O=CC1=CC=C(CO)O1
3-Amino-2-methylpropanoic acid,121,O=C(O)C(C)CN
2'-Hydroxyacetophenone,122,CC(C1=CC=CC=C1O)=O
2-Hydroxy-2-methylbutanoic acid,123,CCC(C)(O)C(O)=O
(-)-Fucose,124,O=C[C@H]([C@@H]([C@@H]([C@H](C)O)O)O)O
Dibutyl phthalate,125,O=C(C1=CC=CC=C1C(OCCCC)=O)OCCCC
L-Homoserine,126,OCC[C@@H](C(=O)O)N
Terephthalic acid,127,O=C(O)C1=CC=C(C(O)=O)C=C1
Jujuboside A,128,C[C@]([C@]1([H])CC2)(CC[C@]3([H])[C@@]1(CC[C@H](O[C@@](OC[C@H](O)[C@@H]4O[C@@](O[C@H](CO[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)[C@@H](O)[C@@H]6O)([H])[C@@H]6O[C@@](OC[C@@H](O)[C@@H]7O)([H])[C@@H]7O)([H])[C@@H]4O[C@@](O[C@@H](C)[C@H](O)[C@H]8O)([H])[C@@H]8O)C3(C)C)C)[C@@]9(CO%10)[C@@]2([H])[C@]([C@]%11(O)C)([H])[C@@]%10(O[C@@H](/C=C(C)/C)C%11)C9
L-Ornithine (hydrochloride),129,NCCC[C@@](N)([H])C(O)=O.Cl
2-Phenylpropionic acid,130,C1=C(C(C(O)=O)C)C=CC=C1
Phenylacetylglutamine,131,O=C([C@H](CCC(N)=O)NC(CC1=CC=CC=C1)=O)O
L-Homocitrulline,132,[H][C@](N)(CCCCNC(N)=O)C(O)=O
TBB,133,BrC1=C2C(NN=N2)=C(Br)C(Br)=C1Br
Pinoresinol Diglucoside,134,COC(C=C1[C@@H]2[C@](CO[C@@H]3C4=CC(OC)=C(O[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)C=C4)([H])[C@]3([H])CO2)=C(C=C1)O[C@@H]([C@@H]([C@@H](O)[C@@H]6O)O)O[C@@H]6CO
Sulfanilamide,135,O=S(C1=CC=C(N)C=C1)(N)=O
(-)-Corey lactone diol,136,OC[C@@H]([C@H](O)C[C@]1([H])O2)[C@@]1([H])CC2=O
4-Methylcatechol,137,OC1=CC=C(C)C=C1O
5-Hydroxymethyl-2-furancarboxylic acid,138,C1=C(OC(=C1)CO)C(=O)O
3-Amino-4-methylpentanoic acid,139,CC(C)C(N)CC(O)=O
Ethylmalonic acid,140,O=C(O)C(CC)C(O)=O
Limonene,141,C=C(C1CC=C(C)CC1)C
Ursonic acid,142,CC1(C)C(CC[C@]2(C)[C@@]3([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC[C@@]12[H])=O
Thymine,143,O=C1NC(C(C)=CN1)=O
Dulcite,144,OC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O
N-Acetylglycine,145,O=C(O)CNC(C)=O
Decanedioic acid,146,O=C(O)CCCCCCCCC(O)=O
Levulinic acid,147,CC(CCC(O)=O)=O
Hydrocinnamic acid,148,O=C(O)CCC1=CC=CC=C1
Sulfadiazine,149,O=S(C1=CC=C(N)C=C1)(NC2=NC=CC=N2)=O
Ginsenoside Rb2,150,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@]([C@@H]([C@@H](O)[C@@H]5O)O)([H])O[C@@H]5CO)C)(CC[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](CC/C=C(C)/C)(C)O[C@@H]([C@@H]([C@@H](O)[C@@H]7O)O)O[C@@H]7CO[C@H](OC[C@H](O)[C@@H]8O)[C@@H]8O)([H])CC6)C
L-(+)-Arabinose,151,O=C[C@@H]([C@H]([C@H](CO)O)O)O
Daptomycin,152,O=C(N[C@H](CC(N)=O)C(N[C@@H](CC(O)=O)C(N[C@H](C(NCC(N[C@H](C(N[C@@](C(N[C@@H](C(N[C@H]1CC(O)=O)=O)C)=O)([H])CC(O)=O)=O)CCCN)=O)=O)[C@H](OC([C@](NC([C@](NC([C@@](NC(CNC1=O)=O)([H])CO)=O)([H])[C@H](C)CC(O)=O)=O)([H])CC(C(C=CC=C2)=C2N)=O)=O)C)=O)=O)[C@@H](NC(CCCCCCCCC)=O)CC3=CNC4=CC=CC=C34
3-Methylglutaric acid,153,O=C(O)CC(C)CC(O)=O
Hippuric acid,154,O=C(O)CNC(C1=CC=CC=C1)=O
trans-Aconitic acid,155,O=C(O)/C=C(CC(O)=O)/C(O)=O
2-Oxo-3-phenylpropanoic acid,156,OC(=O)C(=O)CC1=CC=CC=C1
Prohydrojasmon racemate,157,O=C(OCCC)CC1C(CCCCC)C(CC1)=O
trans-Zeatinriboside,158,C/C(CO)=C\CNC1=C(N=CN2[C@H]3[C@H](O)[C@H](O)[C@H](O3)CO)C2=NC=N1
(S)-Leucic acid,159,O=C(O)[C@@H](O)CC(C)C
Cephradine,160,O=C(C(N12)=C(C)CS[C@]2([H])[C@H](NC([C@H](N)C3=CCC=CC3)=O)C1=O)O
D-Arabitol,161,OCC(O)C(O)C(O)CO
2-Methoxybenzoic acid,162,O=C(O)C1=CC=CC=C1OC
Acipimox,163,O=C(C1=C[N+]([O-])=C(C)C=N1)O
Acetosyringone,164,COC1=CC(=CC(OC)=C1O)C(C)=O
Primaquine (Diphosphate),165,CC(NC1=C2N=CC=CC2=CC(OC)=C1)CCCN.O=P(O)(O)O.O=P(O)(O)O
Imepitoin,166,O=C1N=C(N2CCOCC2)CN1C3=CC=C(Cl)C=C3
Dihydroergotamine (mesylate),167,O[C@@]([C@@](CCC1)([H])N1C2=O)(O[C@](NC([C@@H](CN(C)[C@]3([H])C4)C[C@]3([H])C5=C6C4=CNC6=CC=C5)=O)(C)C7=O)N7[C@H]2CC8=CC=CC=C8.CS(=O)(O)=O
Artemisinin,168,O=C1[C@H](C)[C@]2([H])CC[C@@H](C)[C@]3([H])CC[C@@](O4)(C)OO[C@]32[C@]4([H])O1
Acetylcholine (chloride),169,O=C(OCC[N+](C)(C)C)C.[Cl-]
5-Methylfurfural,170,O=CC1=CC=C(C)O1
Pipecolic acid,171,O=C(O)C1CCCCN1
3-Methoxybenzoic acid,172,O=C(O)C1=CC=CC(OC)=C1
Ellipticine (hydrochloride),173,CC1=C(C=NC=C2)C2=C(C)C(N3)=C1C4=C3C=CC=C4.Cl
Chelidonic acid,174,O=C(C1=CC(C=C(C(O)=O)O1)=O)O
DHEA,175,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C
Undecanedioic acid,176,OC(=O)CCCCCCCCCC(O)=O
4-Hydroxybenzoic acid,177,O=C(O)C1=CC=C(O)C=C1
J-147,178,O=C(N(C1=CC=C(C)C=C1C)/N=C/C2=CC=CC(OC)=C2)C(F)(F)F
Hexadecanedioic acid,179,O=C(O)CCCCCCCCCCCCCCC(O)=O
6-Chloropurine,180,ClC1=C2NC=NC2=NC=N1
Tedizolid (phosphate),181,O=C1O[C@@H](COP(O)(O)=O)CN1C2=CC=C(C3=CC=C(C4=NN(C)N=N4)N=C3)C(F)=C2
Vancomycin (hydrochloride),182,C[C@@H]1O[C@@]([H])(O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC3=C(OC4=C(Cl)C=C([C@@H](O)[C@](NC([C@]5([H])NC6=O)=O)(C(N[C@]([H])(C(O)=O)C7=CC(O)=CC(O)=C7C8=C(O)C=CC5=C8)=O)[H])C=C4)C=C([C@@]6([H])NC([C@H](CC(N)=O)NC9=O)=O)C=C3OC%10=CC=C([C@@H](O)[C@H]9NC([C@H](NC)C(C)(C)C)=O)C=C%10Cl)C[C@](C)(N)[C@@H]1O.[H]Cl
Decursin,183,C/C(C)=C\C(O[C@H](C(C)(C)O1)CC2=C1C=C(O3)C(C=CC3=O)=C2)=O
Kojic acid,184,O=C1C=C(CO)OC=C1O
"L-Gulono-1,4-lactone",185,O=C1O[C@H]([C@@H](O)CO)[C@H](O)[C@@H]1O
